ticket_id,row_type,date,sport,league,sportsbook,bet_type,total_legs,parlay_odds,stake_usd,units,is_bonus_bet,boost_used,boost_percent,event,market,selection,line,leg_odds,same_game_parlay,correlated_leg,ev_percent,fair_odds,kelly_percent,result,payout_usd,closing_line,reason,clv_notes,postmortem
DK639096479844332828,leg,3/20/26,Basketball,NCAAM,DraftKings,sgp,3,158,12.5,2.5,TRUE,FALSE,,California Baptist vs Kansas,Player Prop,Dominique Daniels,15+ points,,TRUE,TRUE,,,,Win,,,,,
DK6390944483706773884,slip,3/18/26,Basketball,NCAAM,DraftKings,parlay,3,539,4,0.8,FALSE,FALSE,,TCU vs Ohio State / High Point vs Wisconsin / UCF vs UCLA,3-pick parlay,TCU +6.5 + High Point +15.5 + UCF ML,,,FALSE,FALSE,,,,Loss,0,,,,
DK639095599370599138,leg,3/18/26,Basketball,NCAAM,DraftKings,parlay,3,539,4,0.8,FALSE,FALSE,,TCU vs Ohio State,Spread Alternate - NCAAB,TCU,6.5,-197,FALSE,FALSE,,,,Win,,,,,
DK639095599370599138,leg,3/18/26,Basketball,NCAAM,DraftKings,parlay,3,539,4,0.8,FALSE,FALSE,,High Point vs Wisconsin,Spread Alternate - NCAAB,High Point,15.5,-256,FALSE,FALSE,,,,Win,,,,,
DK639095599370599138,leg,3/18/26,Basketball,NCAAM,DraftKings,parlay,3,539,4,0.8,FALSE,FALSE,,UCF vs UCLA,Moneyline,UCF,,205,FALSE,FALSE,,,,Loss,,,,,
DK639097031093361515,slip,3/21/26,Basketball,NCAAM,DraftKings,parlay,2,332,5,1,FALSE,TRUE,100,TCU vs Duke / Texas A&M vs Houston,2-pick parlay,TCU +12.5 + Houston -5.5,,,FALSE,FALSE,,,,Loss,0,,,,
DK639097031093361515,leg,3/21/26,Basketball,NCAAM,DraftKings,parlay,2,332,5,1,FALSE,TRUE,100,TCU vs Duke,Spread,TCU,12.5,-115,FALSE,FALSE,,,,Loss,,,,,
DK639097031093361515,leg,3/21/26,Basketball,NCAAM,DraftKings,parlay,2,332,5,1,FALSE,TRUE,100,Texas A&M vs Houston,Spread Alternate - NCAAB,Houston,-5.5,-236,FALSE,FALSE,,,,Win,,,,,
DK639097145105806544,slip,3/21/26,Basketball,NCAAM,DraftKings,sgp,3,397,6.75,1.35,FALSE,TRUE,30,High Point vs Arkansas,3-pick same-game parlay,Darius Acuff Jr. 25+ points + Arkansas -9.5 + Under 171.5,,,TRUE,TRUE,,,,Loss,0,,,,
DK639097145105806544,leg,3/21/26,Basketball,NCAAM,DraftKings,sgp,3,397,6.75,1.35,FALSE,TRUE,30,High Point vs Arkansas,Player Prop,Darius Acuff Jr.,25+ points,,TRUE,TRUE,,,,Win,,,,,
DK639097145105806544,leg,3/21/26,Basketball,NCAAM,DraftKings,sgp,3,397,6.75,1.35,FALSE,TRUE,30,High Point vs Arkansas,Spread Alternate - NCAAB,Arkansas,-9.5,,TRUE,TRUE,,,,Loss,,,,,
DK639097145105806544,leg,3/21/26,Basketball,NCAAM,DraftKings,sgp,3,397,6.75,1.35,FALSE,TRUE,30,High Point vs Arkansas,Total Alternate - NCAAB,Under,171.5,,TRUE,TRUE,,,,Loss,,,,,
DK639097034297815079,slip,3/21/26,Basketball,NCAAM,DraftKings,parlay,3,647,5,1,FALSE,TRUE,32,Vanderbilt vs Nebraska / Texas vs Gonzaga / VCU vs Illinois,3-pick parlay,Nebraska ML + Texas +10.5 + VCU +11.5,,,FALSE,FALSE,,,,Loss,0,,,,
DK639097034297815079,leg,3/21/26,Basketball,NCAAM,DraftKings,parlay,3,647,5,1,FALSE,TRUE,32,Vanderbilt vs Nebraska,Moneyline,Nebraska,,105,FALSE,FALSE,,,,Win,,,,,
DK639097034297815079,leg,3/21/26,Basketball,NCAAM,DraftKings,parlay,3,647,5,1,FALSE,TRUE,32,Texas vs Gonzaga,Spread Alternate - NCAAB,Texas,10.5,-185,FALSE,FALSE,,,,Win,,,,,
DK639097034297815079,leg,3/21/26,Basketball,NCAAM,DraftKings,parlay,3,647,5,1,FALSE,TRUE,32,VCU vs Illinois,Spread,VCU,11.5,-115,FALSE,FALSE,,,,Loss,,,,,
DK639095599370599138,slip,3/19/26,Basketball,NCAAM,DraftKings,parlay,3,4443,5,1,FALSE,TRUE,30,Texas vs BYU / Saint Louis vs Georgia / Kennesaw State vs Gonzaga,3-pick parlay,Yes + Yes + Yes (both teams to score in first minute),,,FALSE,FALSE,,,,Loss,0,,,,
DK639095599370599138,leg,3/19/26,Basketball,NCAAM,DraftKings,parlay,3,4443,5,1,FALSE,TRUE,30,Texas vs BYU,Special,Yes,Both Teams to Score in the First Minute [20:00-19:00],235,FALSE,FALSE,,,,Loss,,,,,
DK639095599370599138,leg,3/19/26,Basketball,NCAAM,DraftKings,parlay,3,4443,5,1,FALSE,TRUE,30,Saint Louis vs Georgia,Special,Yes,Both Teams to Score in the First Minute [20:00-19:00],200,FALSE,FALSE,,,,Loss,,,,,
DK639095599370599138,leg,3/19/26,Basketball,NCAAM,DraftKings,parlay,3,4443,5,1,FALSE,TRUE,30,Kennesaw State vs Gonzaga,Special,Yes,Both Teams to Score in the First Minute [20:00-19:00],250,FALSE,FALSE,,,,Loss,,,,,
DK639096170350487838,slip,3/20/26,Basketball,NCAAM,DraftKings,parlay,3,411,5,1,FALSE,TRUE,30,Utah State vs Villanova / Northern Iowa vs St. John's / Miami OH vs Tennessee,3-pick parlay,Villanova +6.5 + St. John's -9.5 + Miami OH +14.5,,,FALSE,FALSE,,,,Loss,0,,,,
DK639096170350487838,leg,3/20/26,Basketball,NCAAM,DraftKings,parlay,3,411,5,1,FALSE,TRUE,30,Utah State vs Villanova,Spread Alternate - NCAAB,Villanova,6.5,-254,FALSE,FALSE,,,,Loss,,,,,
DK639096170350487838,leg,3/20/26,Basketball,NCAAM,DraftKings,parlay,3,411,5,1,FALSE,TRUE,30,Northern Iowa vs St. John's,Spread,St. John's,-9.5,-118,FALSE,FALSE,,,,Win,,,,,
DK639096170350487838,leg,3/20/26,Basketball,NCAAM,DraftKings,parlay,3,411,5,1,FALSE,TRUE,30,Miami OH vs Tennessee,Spread Alternate - NCAAB,Miami OH,14.5,-162,FALSE,FALSE,,,,Loss,,,,,
DK639097065805427119,slip,3/21/26,Basketball,NCAAM,DraftKings,parlay,3,315,5,1,FALSE,TRUE,75,Louisville vs Michigan State / Texas A&M vs Houston / Texas vs Gonzaga,3-pick parlay,Michigan State ML + Houston ML + Under 150.5,,,FALSE,FALSE,,,,Win,20.75,,,,
DK639097065805427119,leg,3/21/26,Basketball,NCAAM,DraftKings,parlay,3,315,5,1,FALSE,TRUE,75,Louisville vs Michigan State,Moneyline,Michigan State,,-225,FALSE,FALSE,,,,Win,,,,,
DK639097065805427119,leg,3/21/26,Basketball,NCAAM,DraftKings,parlay,3,315,5,1,FALSE,TRUE,75,Texas A&M vs Houston,Moneyline,Houston,,-520,FALSE,FALSE,,,,Win,,,,,
DK639097065805427119,leg,3/21/26,Basketball,NCAAM,DraftKings,parlay,3,315,5,1,FALSE,TRUE,75,Texas vs Gonzaga,Total Alternate - NCAAB,Under,150.5,-160,FALSE,FALSE,,,,Win,,,,,
DK639097401026544633,slip,3/21/26,Basketball,NBA,DraftKings,single,1,102,25,5,TRUE,FALSE,,Bucks vs Suns,Single,Myles Turner under 10.5 points,,,FALSE,FALSE,,,,Win,25.5,,,,
DK639097401026544633,leg,3/21/26,Basketball,NBA,DraftKings,single,1,102,25,5,TRUE,FALSE,,Bucks vs Suns,Player Prop,Myles Turner under,10.5,102,FALSE,FALSE,,,,Win,,,,,
DK639097859782579178,slip,3/22/26,Basketball,NCAAM,DraftKings,single,1,132,25,5,TRUE,FALSE,,Illinois State vs Wake Forest,Single,Wake Forest under 76.5 team total,,,FALSE,FALSE,,,,Win,33,,,,
DK639097859782579178,leg,3/22/26,Basketball,NCAAM,DraftKings,single,1,132,25,5,TRUE,FALSE,,Illinois State vs Wake Forest,Team Total Alternate Points,Wake Forest under,76.5,132,FALSE,FALSE,,,,Win,,,,,
DK639097953940887045,slip,3/22/26,Basketball,NCAAM,DraftKings,single,1,133,10,2,TRUE,FALSE,,St. John's vs Kansas,Single,St. John's under 72.5 team total,,,FALSE,FALSE,,,,Win,13.3,,,,
DK639097953940887045,leg,3/22/26,Basketball,NCAAM,DraftKings,single,1,133,10,2,TRUE,FALSE,,St. John's vs Kansas,Team Total Alternate Points,St. John's under,72.5,133,FALSE,FALSE,,,,Win,,,,,
